image_filename	post_id	label
five_headed_snake_1	121295835525943296	tampered
five_headed_snake_2	250212908141780992	tampered
five_headed_snake_3	539314311047290880	tampered
five_headed_snake_4	285113972842196992	tampered
five_headed_snake_5	308297319487528960	tampered
five_headed_snake_6	672875621375021057	tampered
protest_1	686376150357176320	non-tampered
bush_book_1	127873228076097536	tampered
bush_book_2	199440563009880064	tampered
bush_book_3	256031374555885568	tampered
bowie_david_1	686453675808714752	tampered
bowie_david_2	686720556603846657	tampered
bowie_david_3	687021458590052352	tampered
bowie_david_4	667515203265802241	non-tampered
bowie_david_5	686479408975233024	non-tampered
antafogasta_wave_1	-	tampered
fox_1	-	tampered
engine_fire_1	-	tampered
north_korea_1	704279247196692480	tampered
north_korea_2	635711778702229509	tampered
north_korea_3	635732139909054464	tampered
fuji_lenticular_1	651984078099472384	tampered
fuji_lenticular_2	564138688033329153	tampered
fuji_lenticular_3	713011077383110657	non-tampered
fuji_lenticular_4	643098876501696512	non-tampered
not_afraid_1	552887832793321472	non-tampered
not_afraid_2	552901776115261442	non-tampered
not_afraid_3	665836882652217344	non-tampered
not_afraid_4	553071873890979841	non-tampered
rio_moon_1	317784247807119360	tampered
rio_moon_2	327932537798270978	tampered
burst_kfc_1	481813639112835072	tampered
burst_kfc_2	706289777960685569	tampered
john_guevara_1	652499749560537089	tampered
john_guevara_2	669318776345763840	tampered
attacks_paris_1	666197433123250176	non-tampered
attacks_paris_2	665312414619926529	non-tampered
attacks_paris_3	666615126259273728	non-tampered
attacks_paris_4	665639252366110721	tampered
attacks_paris_5	665281686872158208	non-tampered
attacks_paris_6	665281896457334785	non-tampered
black_lion_1	665978805136334852	tampered
ukrainian_nazi_1	699976837728960512	non-tampered
pakistan_explosion_1	714222799863328768	non-tampered
gandhi_dancing_1	242243895650549760	non-tampered
gandhi_dancing_2	531444100101570560	non-tampered
woman_14_children_1	700617745671434240	non-tampered
woman_14_children_2	700832784114393090	non-tampered
syrian_children_1	419440407354019840	non-tampered
mc_donalds_fee_1	131803489054629888	non-tampered
mc_donalds_fee_2	161877619191709697	non-tampered
immigrants_fear_1	687037277348978688	non-tampered
immigrants_fear_2	688156139570110465	non-tampered
immigrants_fear_3	628623989242482688	non-tampered
immigrants_fear_4	685760040192622592	non-tampered
immigrants_fear_5	684257773656211456	non-tampered
refugees_1	612433247469989888	non-tampered
refugees_2	692101282107150340	non-tampered
refugees_3	640269909843296256	non-tampered
refugees_4	653508009063264256	non-tampered
refugees_5	692336769086398464	non-tampered
refugees_6	643347523734765568	non-tampered
refugees_7	644948439311192064	non-tampered
soldier_stealing_geese	443148818226610176	non-tampered
